user_id,username,password,email
1,johndoe123,mysecretpassword1,johndoe@example.com
2,alice_smith,password123,alice.smith@email.com
3,george87,securePass432,george@example.org
4,sarahgreen,userpass12,sarah.green@example.com
5,robert78,p@ssw0rd,robert@example.com
6,lisajones,pwd!Secure99,lisa.jones@email.com
7,alexwilson,pwd!?4953,alex.wilson@example.com
8,emily99,emailpass,email@example.com
9,michael_j,ilovemydog,michael@example.org
10,olivia92,securepw,olivia@example.com
11,william01,passw0rd,william@example.com
12,laurasmith,p@ss123,laura.smith@email.com
13,chris27,chrispass12,chris@example.com
14,grace123,p@ssw0rd,grace@example.com
15,david44,pwd4email,david@example.org
16,sophie85,sophiepass,sophie@example.com
17,mark69,markspwd,mark@example.com
18,jennifer_s,jennypass12,jennifer@example.com
19,matthew33,securematthew,matthew@example.com
20,emma56,p@ss123,emma@example.com
